snapshot_date,ticker,issuer_name,sector,subsector,universe_rank,current_tradeable,production_actionable,data_quality_state,liquidity_state,selection_reason,membership_state,runtime_ranking_eligible
2026-09-09,TALF,PT Tunas Alfin Tbk,Barang Baku,Barang Baku,539,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MAXI,PT Maxindo Karya Anugerah Tbk,Barang Konsumen Primer,Makanan & Minuman,540,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BAPI,PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat,Properti & Real Estat,541,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MDLN,PT Modernland Realty Tbk.,Properti & Real Estat,Properti & Real Estat,542,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PEHA,PT Phapros Tbk,Kesehatan,Farmasi & Riset Kesehatan,543,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,LPPS,PT Lenox Pasifik Investama Tbk,Keuangan,Perusahaan Holding & Investasi,544,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,PEVE,PT Penta Valent Tbk,Kesehatan,Farmasi & Riset Kesehatan,545,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,MDLA,PT Medela Potentia Tbk,Kesehatan,Farmasi & Riset Kesehatan,546,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,HELI,PT Jaya Trishindo Tbk,Transportasi & Logistik,Transportasi,547,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,HDFA,Radana Bhaskara Finance Tbk,Keuangan,Jasa Pembiayaan,548,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,BOLA,PT Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,549,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,RAAM,PT Tripar Multivision Plus Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,550,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,GEMA,Gema Grahasarana Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,551,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
2026-09-09,DEPO,PT Caturkarda Depo Bangunan Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,552,true,true,AVAILABLE,ACTIVE_60D,TOP900_TRADEABLE_COMPOSITE,CURRENT_TOP900_NOT_HISTORICAL,true
