ticker,sector,universe_source
MRAT,Consumer Non-Cyclicals,LEGACY_400
MSJA,Consumer Non-Cyclicals,LEGACY_400
NANO,Consumer Non-Cyclicals,LEGACY_400
NASI,Consumer Non-Cyclicals,LEGACY_400
NAYZ,Consumer Non-Cyclicals,LEGACY_400
NEST,Consumer Non-Cyclicals,LEGACY_400
PCAR,Consumer Non-Cyclicals,LEGACY_400
PNGO,Consumer Non-Cyclicals,LEGACY_400
PSDN,Consumer Non-Cyclicals,LEGACY_400
PSGO,Consumer Non-Cyclicals,LEGACY_400
PTPS,Consumer Non-Cyclicals,LEGACY_400
RANC,Consumer Non-Cyclicals,LEGACY_400
ROTI,Consumer Non-Cyclicals,LEGACY_400
SDPC,Consumer Non-Cyclicals,LEGACY_400
SGRO,Consumer Non-Cyclicals,LEGACY_400
SIMP,Consumer Non-Cyclicals,LEGACY_400
SIPD,Consumer Non-Cyclicals,LEGACY_400
SKBM,Consumer Non-Cyclicals,LEGACY_400
SKLT,Consumer Non-Cyclicals,LEGACY_400
STAA,Consumer Non-Cyclicals,LEGACY_400
STTP,Consumer Non-Cyclicals,LEGACY_400
TCID,Consumer Non-Cyclicals,LEGACY_400
TGKA,Consumer Non-Cyclicals,LEGACY_400
TGUK,Consumer Non-Cyclicals,LEGACY_400
TLDN,Consumer Non-Cyclicals,LEGACY_400
UCID,Consumer Non-Cyclicals,LEGACY_400
UDNG,Consumer Non-Cyclicals,LEGACY_400
VICI,Consumer Non-Cyclicals,LEGACY_400
WAPO,Consumer Non-Cyclicals,LEGACY_400
YUPI,Consumer Non-Cyclicals,LEGACY_400
BMHS,Healthcare,LEGACY_400
CARE,Healthcare,LEGACY_400
CHEK,Healthcare,LEGACY_400
DGNS,Healthcare,LEGACY_400
DVLA,Healthcare,LEGACY_400
HALO,Healthcare,LEGACY_400
IKPM,Healthcare,LEGACY_400
IRRA,Healthcare,LEGACY_400
LABS,Healthcare,LEGACY_400
MDLA,Healthcare,LEGACY_400
MEDS,Healthcare,LEGACY_400
MERK,Healthcare,LEGACY_400
MMIX,Healthcare,LEGACY_400
MTMH,Healthcare,LEGACY_400
OBAT,Healthcare,LEGACY_400
OMED,Healthcare,LEGACY_400
PEHA,Healthcare,LEGACY_400
PEVE,Healthcare,LEGACY_400
PRAY,Healthcare,LEGACY_400
PRDA,Healthcare,LEGACY_400
PRIM,Healthcare,LEGACY_400
RSCH,Healthcare,LEGACY_400
RSGK,Healthcare,LEGACY_400
SAME,Healthcare,LEGACY_400
SCPI,Healthcare,LEGACY_400
SOHO,Healthcare,LEGACY_400
SURI,Healthcare,LEGACY_400
TSPC,Healthcare,LEGACY_400
ADCP,Properties & Real Estate,LEGACY_400
